# g-dedup-quarantine log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-28T23:49:21.170Z dryRun=false maxMoves=Infinity
2026-04-28T23:49:21.594Z	KEEPER_MISSING	28	G:\Poze\IMG-20160929-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160929-WA0001.jpg	-
2026-04-28T23:49:21.601Z	MOVE	28	G:\Poze\1000013762.jpg	G:\Poze\.duplicates\1000013762.jpg	-
2026-04-28T23:49:21.607Z	SKIP	29	G:\Poze\IMG-20160922-WA0000.jpg	-	source-missing
2026-04-28T23:49:21.613Z	SKIP	30	G:\Poze\IMG-20160921-WA0000.jpg	-	source-missing
2026-04-28T23:49:21.619Z	KEEPER_MISSING	31	G:\Poze\IMG-20160920-WA0002.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160920-WA0002.jpg	-
2026-04-28T23:49:21.627Z	MOVE	31	G:\Poze\1000013872.jpg	G:\Poze\.duplicates\1000013872.jpg	-
2026-04-28T23:49:21.633Z	KEEPER_MISSING	32	G:\Poze\IMG-20160920-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160920-WA0001.jpg	-
2026-04-28T23:49:21.640Z	MOVE	32	G:\Poze\1000013335.jpg	G:\Poze\.duplicates\1000013335.jpg	-
2026-04-28T23:49:21.647Z	KEEPER_MISSING	33	G:\Poze\IMG-20160920-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160920-WA0000.jpg	-
2026-04-28T23:49:21.654Z	MOVE	33	G:\Poze\1000013816.jpg	G:\Poze\.duplicates\1000013816.jpg	-
2026-04-28T23:49:21.661Z	KEEPER_MISSING	34	G:\Poze\IMG-20160913-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160913-WA0000.jpg	-
2026-04-28T23:49:21.668Z	MOVE	34	G:\Poze\1000013740.jpg	G:\Poze\.duplicates\1000013740.jpg	-
2026-04-28T23:49:21.674Z	KEEPER_MISSING	35	G:\Poze\IMG-20160908-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160908-WA0001.jpg	-
2026-04-28T23:49:21.682Z	MOVE	35	G:\Poze\1000014092.jpg	G:\Poze\.duplicates\1000014092.jpg	-
2026-04-28T23:49:21.688Z	KEEPER_MISSING	36	G:\Poze\IMG-20160903-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160903-WA0001.jpg	-
2026-04-28T23:49:21.696Z	MOVE	36	G:\Poze\1000014318.jpg	G:\Poze\.duplicates\1000014318.jpg	-
2026-04-28T23:49:21.702Z	KEEPER_MISSING	37	G:\Poze\IMG-20160903-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160903-WA0000.jpg	-
2026-04-28T23:49:21.709Z	MOVE	37	G:\Poze\1000014424.jpg	G:\Poze\.duplicates\1000014424.jpg	-
2026-04-28T23:49:21.719Z	KEEPER_MISSING	38	G:\Poze\IMG-20160902-WA0002.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160902-WA0002.jpg	-
2026-04-28T23:49:21.727Z	MOVE	38	G:\Poze\1000013141.jpg	G:\Poze\.duplicates\1000013141.jpg	-
2026-04-28T23:49:21.733Z	KEEPER_MISSING	39	G:\Poze\IMG-20160902-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160902-WA0000.jpg	-
2026-04-28T23:49:21.740Z	MOVE	39	G:\Poze\1000013257.jpg	G:\Poze\.duplicates\1000013257.jpg	-
2026-04-28T23:49:21.747Z	KEEPER_MISSING	40	G:\Poze\IMG-20160901-WA0003.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160901-WA0003.jpg	-
2026-04-28T23:49:21.754Z	MOVE	40	G:\Poze\1000013122.jpg	G:\Poze\.duplicates\1000013122.jpg	-
2026-04-28T23:49:21.761Z	KEEPER_MISSING	41	G:\Poze\IMG-20160901-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160901-WA0001.jpg	-
2026-04-28T23:49:21.768Z	MOVE	41	G:\Poze\1000014950.jpg	G:\Poze\.duplicates\1000014950.jpg	-
2026-04-28T23:49:21.775Z	KEEPER_MISSING	42	G:\Poze\IMG-20160831-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160831-WA0000.jpg	-
2026-04-28T23:49:21.782Z	MOVE	42	G:\Poze\1000013054.jpg	G:\Poze\.duplicates\1000013054.jpg	-
2026-04-28T23:49:21.789Z	KEEPER_MISSING	43	G:\Poze\IMG-20160830-WA0002.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160830-WA0002.jpg	-
2026-04-28T23:49:21.796Z	MOVE	43	G:\Poze\1000015045.jpg	G:\Poze\.duplicates\1000015045.jpg	-
2026-04-28T23:49:21.803Z	KEEPER_MISSING	44	G:\Poze\IMG-20160826-WA0002.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160826-WA0002.jpg	-
2026-04-28T23:49:21.809Z	SKIP	44	G:\Poze\IMG-20160826-WA0004.jpg	-	source-missing
2026-04-28T23:49:21.815Z	SKIP	44	G:\Poze\IMG-20160826-WA0003.jpg	-	source-missing
2026-04-28T23:49:21.823Z	MOVE	44	G:\Poze\1000012908.jpg	G:\Poze\.duplicates\1000012908.jpg	-
2026-04-28T23:49:21.830Z	MOVE	44	G:\Poze\1000012869.jpg	G:\Poze\.duplicates\1000012869.jpg	-
2026-04-28T23:49:21.837Z	MOVE	44	G:\Poze\1000014012.jpg	G:\Poze\.duplicates\1000014012.jpg	-
2026-04-28T23:49:21.843Z	KEEPER_MISSING	45	G:\Poze\IMG-20160825-WA0003.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160825-WA0003.jpg	-
2026-04-28T23:49:21.850Z	MOVE	45	G:\Poze\1000013175.jpg	G:\Poze\.duplicates\1000013175.jpg	-
2026-04-28T23:49:21.856Z	KEEPER_MISSING	46	G:\Poze\IMG-20160825-WA0002.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160825-WA0002.jpg	-
