# g-bulk-delete-quarantine log — TSV: timestamp	event	category	old_path	new_path	reason
# run start 2026-04-29T00:01:05.702Z dryRun=false maxMoves=Infinity
2026-04-29T00:01:06.151Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002762_2.jpg	G:\Poze\.review-for-delete\1000002762_2.jpg	-
2026-04-29T00:01:06.156Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002764_2.jpg	G:\Poze\.review-for-delete\1000002764_2.jpg	-
2026-04-29T00:01:06.162Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002766_2.jpg	G:\Poze\.review-for-delete\1000002766_2.jpg	-
2026-04-29T00:01:06.167Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002768_2.jpg	G:\Poze\.review-for-delete\1000002768_2.jpg	-
2026-04-29T00:01:06.173Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002770_2.jpg	G:\Poze\.review-for-delete\1000002770_2.jpg	-
2026-04-29T00:01:06.178Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002773_2.jpg	G:\Poze\.review-for-delete\1000002773_2.jpg	-
2026-04-29T00:01:06.183Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002774_2.jpg	G:\Poze\.review-for-delete\1000002774_2.jpg	-
2026-04-29T00:01:06.189Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002776_2.jpg	G:\Poze\.review-for-delete\1000002776_2.jpg	-
2026-04-29T00:01:06.195Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002777_2.jpg	G:\Poze\.review-for-delete\1000002777_2.jpg	-
2026-04-29T00:01:06.200Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002780_2.jpg	G:\Poze\.review-for-delete\1000002780_2.jpg	-
2026-04-29T00:01:06.205Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002783_2.jpg	G:\Poze\.review-for-delete\1000002783_2.jpg	-
2026-04-29T00:01:06.211Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002785_2.jpg	G:\Poze\.review-for-delete\1000002785_2.jpg	-
2026-04-29T00:01:06.222Z	MOVE	pattern:fb-photo-id	G:\Poze\1000005889_2.jpg	G:\Poze\.review-for-delete\1000005889_2.jpg	-
2026-04-29T00:01:06.226Z	SKIP	pattern:fb-photo-id	G:\Poze\1000005891_2.jpg	-	source-missing
2026-04-29T00:01:06.232Z	MOVE	pattern:fb-photo-id	G:\Poze\1000006124_2.jpg	G:\Poze\.review-for-delete\1000006124_2.jpg	-
2026-04-29T00:01:06.236Z	SKIP	pattern:fb-photo-id	G:\Poze\1000006325_2.jpg	-	source-missing
2026-04-29T00:01:06.240Z	SKIP	pattern:fb-photo-id	G:\Poze\1000006326_2.jpg	-	source-missing
2026-04-29T00:01:06.245Z	SKIP	pattern:fb-photo-id	G:\Poze\1000006327_2.jpg	-	source-missing
2026-04-29T00:01:06.251Z	MOVE	pattern:fb-photo-id	G:\Poze\1000006623_2.jpg	G:\Poze\.review-for-delete\1000006623_2.jpg	-
2026-04-29T00:01:06.256Z	MOVE	pattern:fb-photo-id	G:\Poze\1000006755_2.jpg	G:\Poze\.review-for-delete\1000006755_2.jpg	-
2026-04-29T00:01:06.261Z	SKIP	pattern:fb-photo-id	G:\Poze\1000007156_2.jpg	-	source-missing
2026-04-29T00:01:06.265Z	SKIP	pattern:fb-photo-id	G:\Poze\1000007304_2.jpg	-	source-missing
2026-04-29T00:01:06.274Z	MOVE	pattern:fb-photo-id	G:\Poze\1000012085_2.jpg	G:\Poze\.review-for-delete\1000012085_2.jpg	-
2026-04-29T00:01:06.279Z	MOVE	pattern:fb-photo-id	G:\Poze\1000012481_2.jpg	G:\Poze\.review-for-delete\1000012481_2.jpg	-
2026-04-29T00:01:06.285Z	MOVE	pattern:fb-photo-id	G:\Poze\1000012552_2.jpg	G:\Poze\.review-for-delete\1000012552_2.jpg	-
