# d-portfolio-camera-reorg log — TSV: timestamp	old_path	new_path	filename	year	pattern
# run start 2026-04-29T06:29:06.590Z dryRun=false
2026-04-29T06:29:09.671Z	D:\Portfolio\poze\IMG_20230403_143313.jpg	D:\Portfolio\poze\2023\IMG_20230403_143313.jpg	IMG_20230403_143313.jpg	2023	android-camera
2026-04-29T06:29:09.672Z	D:\Portfolio\poze\IMG_20230403_143314.jpg	D:\Portfolio\poze\2023\IMG_20230403_143314.jpg	IMG_20230403_143314.jpg	2023	android-camera
2026-04-29T06:29:09.672Z	D:\Portfolio\poze\IMG_20230403_144443.jpg	D:\Portfolio\poze\2023\IMG_20230403_144443.jpg	IMG_20230403_144443.jpg	2023	android-camera
2026-04-29T06:29:09.672Z	D:\Portfolio\poze\IMG_20230403_144845.jpg	D:\Portfolio\poze\2023\IMG_20230403_144845.jpg	IMG_20230403_144845.jpg	2023	android-camera
2026-04-29T06:29:09.673Z	D:\Portfolio\poze\IMG_20230403_144847.jpg	D:\Portfolio\poze\2023\IMG_20230403_144847.jpg	IMG_20230403_144847.jpg	2023	android-camera
2026-04-29T06:29:09.673Z	D:\Portfolio\poze\IMG_20230403_150210.jpg	D:\Portfolio\poze\2023\IMG_20230403_150210.jpg	IMG_20230403_150210.jpg	2023	android-camera
2026-04-29T06:29:09.673Z	D:\Portfolio\poze\IMG_20230403_150213.jpg	D:\Portfolio\poze\2023\IMG_20230403_150213.jpg	IMG_20230403_150213.jpg	2023	android-camera
2026-04-29T06:29:09.674Z	D:\Portfolio\poze\IMG_20230403_150217.jpg	D:\Portfolio\poze\2023\IMG_20230403_150217.jpg	IMG_20230403_150217.jpg	2023	android-camera
2026-04-29T06:29:09.674Z	D:\Portfolio\poze\IMG_20230403_150219.jpg	D:\Portfolio\poze\2023\IMG_20230403_150219.jpg	IMG_20230403_150219.jpg	2023	android-camera
2026-04-29T06:29:09.674Z	D:\Portfolio\poze\IMG_20230403_150233.jpg	D:\Portfolio\poze\2023\IMG_20230403_150233.jpg	IMG_20230403_150233.jpg	2023	android-camera
2026-04-29T06:29:09.675Z	D:\Portfolio\poze\IMG_20230403_150255.jpg	D:\Portfolio\poze\2023\IMG_20230403_150255.jpg	IMG_20230403_150255.jpg	2023	android-camera
2026-04-29T06:29:09.675Z	D:\Portfolio\poze\IMG_20230403_150342.jpg	D:\Portfolio\poze\2023\IMG_20230403_150342.jpg	IMG_20230403_150342.jpg	2023	android-camera
2026-04-29T06:29:09.675Z	D:\Portfolio\poze\IMG_20230403_150344.jpg	D:\Portfolio\poze\2023\IMG_20230403_150344.jpg	IMG_20230403_150344.jpg	2023	android-camera
2026-04-29T06:29:09.675Z	D:\Portfolio\poze\IMG_20230403_150401.jpg	D:\Portfolio\poze\2023\IMG_20230403_150401.jpg	IMG_20230403_150401.jpg	2023	android-camera
2026-04-29T06:29:09.676Z	D:\Portfolio\poze\IMG_20230403_150511.jpg	D:\Portfolio\poze\2023\IMG_20230403_150511.jpg	IMG_20230403_150511.jpg	2023	android-camera
2026-04-29T06:29:09.676Z	D:\Portfolio\poze\IMG_20230403_150513.jpg	D:\Portfolio\poze\2023\IMG_20230403_150513.jpg	IMG_20230403_150513.jpg	2023	android-camera
2026-04-29T06:29:09.676Z	D:\Portfolio\poze\IMG_20230403_150522.jpg	D:\Portfolio\poze\2023\IMG_20230403_150522.jpg	IMG_20230403_150522.jpg	2023	android-camera
2026-04-29T06:29:09.677Z	D:\Portfolio\poze\IMG_20230403_150543.jpg	D:\Portfolio\poze\2023\IMG_20230403_150543.jpg	IMG_20230403_150543.jpg	2023	android-camera
2026-04-29T06:29:09.677Z	D:\Portfolio\poze\IMG_20230403_150552.jpg	D:\Portfolio\poze\2023\IMG_20230403_150552.jpg	IMG_20230403_150552.jpg	2023	android-camera
2026-04-29T06:29:09.677Z	D:\Portfolio\poze\IMG_20230403_150559.jpg	D:\Portfolio\poze\2023\IMG_20230403_150559.jpg	IMG_20230403_150559.jpg	2023	android-camera
2026-04-29T06:29:09.678Z	D:\Portfolio\poze\IMG_20230403_150614.jpg	D:\Portfolio\poze\2023\IMG_20230403_150614.jpg	IMG_20230403_150614.jpg	2023	android-camera
2026-04-29T06:29:09.678Z	D:\Portfolio\poze\IMG_20230403_150617.jpg	D:\Portfolio\poze\2023\IMG_20230403_150617.jpg	IMG_20230403_150617.jpg	2023	android-camera
2026-04-29T06:29:09.678Z	D:\Portfolio\poze\IMG_20230403_150620.jpg	D:\Portfolio\poze\2023\IMG_20230403_150620.jpg	IMG_20230403_150620.jpg	2023	android-camera
2026-04-29T06:29:09.679Z	D:\Portfolio\poze\IMG_20230403_150715.jpg	D:\Portfolio\poze\2023\IMG_20230403_150715.jpg	IMG_20230403_150715.jpg	2023	android-camera
2026-04-29T06:29:09.679Z	D:\Portfolio\poze\IMG_20230403_150716.jpg	D:\Portfolio\poze\2023\IMG_20230403_150716.jpg	IMG_20230403_150716.jpg	2023	android-camera
2026-04-29T06:29:09.679Z	D:\Portfolio\poze\IMG_20230403_150719.jpg	D:\Portfolio\poze\2023\IMG_20230403_150719.jpg	IMG_20230403_150719.jpg	2023	android-camera
2026-04-29T06:29:09.680Z	D:\Portfolio\poze\IMG_20230403_150855.jpg	D:\Portfolio\poze\2023\IMG_20230403_150855.jpg	IMG_20230403_150855.jpg	2023	android-camera
2026-04-29T06:29:09.680Z	D:\Portfolio\poze\IMG_20230403_150857.jpg	D:\Portfolio\poze\2023\IMG_20230403_150857.jpg	IMG_20230403_150857.jpg	2023	android-camera
2026-04-29T06:29:09.680Z	D:\Portfolio\poze\IMG_20230403_150923.jpg	D:\Portfolio\poze\2023\IMG_20230403_150923.jpg	IMG_20230403_150923.jpg	2023	android-camera
2026-04-29T06:29:09.681Z	D:\Portfolio\poze\IMG_20230403_151007.jpg	D:\Portfolio\poze\2023\IMG_20230403_151007.jpg	IMG_20230403_151007.jpg	2023	android-camera
2026-04-29T06:29:09.681Z	D:\Portfolio\poze\IMG_20230403_151008.jpg	D:\Portfolio\poze\2023\IMG_20230403_151008.jpg	IMG_20230403_151008.jpg	2023	android-camera
2026-04-29T06:29:09.681Z	D:\Portfolio\poze\IMG_20230403_151118.jpg	D:\Portfolio\poze\2023\IMG_20230403_151118.jpg	IMG_20230403_151118.jpg	2023	android-camera
2026-04-29T06:29:09.682Z	D:\Portfolio\poze\IMG_20230403_151119.jpg	D:\Portfolio\poze\2023\IMG_20230403_151119.jpg	IMG_20230403_151119.jpg	2023	android-camera
2026-04-29T06:29:09.682Z	D:\Portfolio\poze\IMG_20230403_151130.jpg	D:\Portfolio\poze\2023\IMG_20230403_151130.jpg	IMG_20230403_151130.jpg	2023	android-camera
2026-04-29T06:29:09.682Z	D:\Portfolio\poze\IMG_20230403_151853.jpg	D:\Portfolio\poze\2023\IMG_20230403_151853.jpg	IMG_20230403_151853.jpg	2023	android-camera
2026-04-29T06:29:09.683Z	D:\Portfolio\poze\IMG_20230403_153006.jpg	D:\Portfolio\poze\2023\IMG_20230403_153006.jpg	IMG_20230403_153006.jpg	2023	android-camera
2026-04-29T06:29:09.683Z	D:\Portfolio\poze\IMG_20230403_155156.jpg	D:\Portfolio\poze\2023\IMG_20230403_155156.jpg	IMG_20230403_155156.jpg	2023	android-camera
2026-04-29T06:29:09.683Z	D:\Portfolio\poze\IMG_20230403_155208.jpg	D:\Portfolio\poze\2023\IMG_20230403_155208.jpg	IMG_20230403_155208.jpg	2023	android-camera
2026-04-29T06:29:09.684Z	D:\Portfolio\poze\IMG_20230403_155229_BURST001_COVER.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST001_COVER.jpg	IMG_20230403_155229_BURST001_COVER.jpg	2023	android-camera
2026-04-29T06:29:09.684Z	D:\Portfolio\poze\IMG_20230403_155229_BURST002.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST002.jpg	IMG_20230403_155229_BURST002.jpg	2023	android-camera
2026-04-29T06:29:09.684Z	D:\Portfolio\poze\IMG_20230403_155229_BURST003.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST003.jpg	IMG_20230403_155229_BURST003.jpg	2023	android-camera
2026-04-29T06:29:09.685Z	D:\Portfolio\poze\IMG_20230403_155229_BURST004.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST004.jpg	IMG_20230403_155229_BURST004.jpg	2023	android-camera
2026-04-29T06:29:09.685Z	D:\Portfolio\poze\IMG_20230403_155229_BURST005.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST005.jpg	IMG_20230403_155229_BURST005.jpg	2023	android-camera
2026-04-29T06:29:09.686Z	D:\Portfolio\poze\IMG_20230403_155229_BURST006.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST006.jpg	IMG_20230403_155229_BURST006.jpg	2023	android-camera
2026-04-29T06:29:09.686Z	D:\Portfolio\poze\IMG_20230403_155229_BURST007.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST007.jpg	IMG_20230403_155229_BURST007.jpg	2023	android-camera
2026-04-29T06:29:09.686Z	D:\Portfolio\poze\IMG_20230403_155229_BURST008.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST008.jpg	IMG_20230403_155229_BURST008.jpg	2023	android-camera
2026-04-29T06:29:09.687Z	D:\Portfolio\poze\IMG_20230403_155229_BURST009.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST009.jpg	IMG_20230403_155229_BURST009.jpg	2023	android-camera
2026-04-29T06:29:09.687Z	D:\Portfolio\poze\IMG_20230403_155229_BURST010.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST010.jpg	IMG_20230403_155229_BURST010.jpg	2023	android-camera
2026-04-29T06:29:09.688Z	D:\Portfolio\poze\IMG_20230403_155229_BURST011.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST011.jpg	IMG_20230403_155229_BURST011.jpg	2023	android-camera
2026-04-29T06:29:09.688Z	D:\Portfolio\poze\IMG_20230403_155229_BURST012.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST012.jpg	IMG_20230403_155229_BURST012.jpg	2023	android-camera
2026-04-29T06:29:09.688Z	D:\Portfolio\poze\IMG_20230403_155229_BURST013.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST013.jpg	IMG_20230403_155229_BURST013.jpg	2023	android-camera
2026-04-29T06:29:09.689Z	D:\Portfolio\poze\IMG_20230403_155229_BURST014.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST014.jpg	IMG_20230403_155229_BURST014.jpg	2023	android-camera
2026-04-29T06:29:09.689Z	D:\Portfolio\poze\IMG_20230403_155229_BURST015.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST015.jpg	IMG_20230403_155229_BURST015.jpg	2023	android-camera
2026-04-29T06:29:09.689Z	D:\Portfolio\poze\IMG_20230403_155229_BURST016.jpg	D:\Portfolio\poze\2023\IMG_20230403_155229_BURST016.jpg	IMG_20230403_155229_BURST016.jpg	2023	android-camera
