# g-poze-huawei-reorg log — TSV: timestamp	old_path	new_path	filename	year	detection
# run start 2026-04-29T06:26:50.856Z dryRun=false
2026-04-29T06:26:51.611Z	G:\Poze\Poze Huawei\IMG_20170308_171751.jpg	G:\Poze\2017\IMG_20170308_171751.jpg	IMG_20170308_171751.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.622Z	G:\Poze\Poze Huawei\IMG_20170308_171836.jpg	G:\Poze\2017\IMG_20170308_171836.jpg	IMG_20170308_171836.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.633Z	G:\Poze\Poze Huawei\IMG_20170311_170053.jpg	G:\Poze\2017\IMG_20170311_170053.jpg	IMG_20170311_170053.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.643Z	G:\Poze\Poze Huawei\IMG_20170311_170058.jpg	G:\Poze\2017\IMG_20170311_170058.jpg	IMG_20170311_170058.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.654Z	G:\Poze\Poze Huawei\IMG_20170311_170105.jpg	G:\Poze\2017\IMG_20170311_170105.jpg	IMG_20170311_170105.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.665Z	G:\Poze\Poze Huawei\IMG_20170311_170120.jpg	G:\Poze\2017\IMG_20170311_170120.jpg	IMG_20170311_170120.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.676Z	G:\Poze\Poze Huawei\IMG_20170311_170125.jpg	G:\Poze\2017\IMG_20170311_170125.jpg	IMG_20170311_170125.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.687Z	G:\Poze\Poze Huawei\IMG_20170311_170136.jpg	G:\Poze\2017\IMG_20170311_170136.jpg	IMG_20170311_170136.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.697Z	G:\Poze\Poze Huawei\IMG_20170311_170140.jpg	G:\Poze\2017\IMG_20170311_170140.jpg	IMG_20170311_170140.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.707Z	G:\Poze\Poze Huawei\IMG_20170314_122343.jpg	G:\Poze\2017\IMG_20170314_122343.jpg	IMG_20170314_122343.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.716Z	G:\Poze\Poze Huawei\IMG_20170314_122356.jpg	G:\Poze\2017\IMG_20170314_122356.jpg	IMG_20170314_122356.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.727Z	G:\Poze\Poze Huawei\IMG_20170314_122404.jpg	G:\Poze\2017\IMG_20170314_122404.jpg	IMG_20170314_122404.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.737Z	G:\Poze\Poze Huawei\IMG_20170314_122409.jpg	G:\Poze\2017\IMG_20170314_122409.jpg	IMG_20170314_122409.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.746Z	G:\Poze\Poze Huawei\IMG_20170314_122414.jpg	G:\Poze\2017\IMG_20170314_122414.jpg	IMG_20170314_122414.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
