# g-master-dedup log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-29T08:48:04.906Z dryRun=false maxMoves=Infinity threshold=0
2026-04-29T08:49:08.180Z	MOVE	1848	G:\Poze\ic_launcher_114.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_114.png	-
2026-04-29T08:49:08.181Z	MOVE	1848	G:\Poze\ic_launcher_119.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_119.png	-
2026-04-29T08:49:08.182Z	MOVE	1848	G:\Poze\ic_launcher_124.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_124.png	-
2026-04-29T08:49:08.183Z	MOVE	1848	G:\Poze\ic_launcher_129.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_129.png	-
2026-04-29T08:49:08.185Z	MOVE	1848	G:\Poze\ic_launcher_134.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_134.png	-
2026-04-29T08:49:08.186Z	MOVE	1848	G:\Poze\ic_launcher_139.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_139.png	-
2026-04-29T08:49:08.187Z	MOVE	1848	G:\Poze\ic_launcher_154.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_154.png	-
2026-04-29T08:49:08.188Z	MOVE	1848	G:\Poze\ic_launcher_159.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_159.png	-
2026-04-29T08:49:08.189Z	MOVE	1848	G:\Poze\ic_launcher_164.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_164.png	-
2026-04-29T08:49:08.190Z	MOVE	1849	G:\Poze\ic_launcher_4.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_4.png	-
2026-04-29T08:49:08.190Z	MOVE	1849	G:\Poze\ic_launcher_9.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_9.png	-
2026-04-29T08:49:08.191Z	MOVE	1849	G:\Poze\ic_launcher_14.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_14.png	-
2026-04-29T08:49:08.192Z	MOVE	1849	G:\Poze\ic_launcher_24.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_24.png	-
