# g-whatsapp-reorg log — TSV: timestamp	old_path	new_path	filename	year
# run start 2026-04-28T23:39:50.712Z
2026-04-28T23:39:51.281Z	G:\Poze\IMG-20241227-WA0043.jpg	G:\Poze\WhatsApp-by-year\2024\IMG-20241227-WA0043.jpg	IMG-20241227-WA0043.jpg	2024
2026-04-28T23:39:51.311Z	G:\Poze\IMG-20250102-WA0005.jpg	G:\Poze\WhatsApp-by-year\2025\IMG-20250102-WA0005.jpg	IMG-20250102-WA0005.jpg	2025
2026-04-28T23:39:51.318Z	G:\Poze\IMG-20250122-WA0003.jpg	G:\Poze\WhatsApp-by-year\2025\IMG-20250122-WA0003.jpg	IMG-20250122-WA0003.jpg	2025
2026-04-28T23:39:51.325Z	G:\Poze\IMG-20250217-WA0002.jpg	G:\Poze\WhatsApp-by-year\2025\IMG-20250217-WA0002.jpg	IMG-20250217-WA0002.jpg	2025
2026-04-28T23:39:51.333Z	G:\Poze\IMG-20250604-WA0005.jpg	G:\Poze\WhatsApp-by-year\2025\IMG-20250604-WA0005.jpg	IMG-20250604-WA0005.jpg	2025
2026-04-28T23:39:51.347Z	G:\Poze\IMG-20250607-WA0013.jpg	G:\Poze\WhatsApp-by-year\2025\IMG-20250607-WA0013.jpg	IMG-20250607-WA0013.jpg	2025
2026-04-28T23:39:51.355Z	G:\Poze\IMG-20250806-WA0010.jpg	G:\Poze\WhatsApp-by-year\2025\IMG-20250806-WA0010.jpg	IMG-20250806-WA0010.jpg	2025
2026-04-28T23:39:51.367Z	G:\Poze\IMG-20250904-WA0048.jpg	G:\Poze\WhatsApp-by-year\2025\IMG-20250904-WA0048.jpg	IMG-20250904-WA0048.jpg	2025
2026-04-28T23:39:51.391Z	G:\Poze\IMG-20260224-WA0011.jpg	G:\Poze\WhatsApp-by-year\2026\IMG-20260224-WA0011.jpg	IMG-20260224-WA0011.jpg	2026
2026-04-28T23:39:51.420Z	G:\Poze\IMG-20180808-WA0023.jpg	G:\Poze\WhatsApp-by-year\2018\IMG-20180808-WA0023.jpg	IMG-20180808-WA0023.jpg	2018
