# g-camera-reorg log — TSV: timestamp	old_path	new_path	filename	year	source	collision_suffix
# run start 2026-04-29T06:31:07.700Z
2026-04-29T06:31:08.455Z	G:\Poze\IMG_20250303_160507.jpg	G:\Poze\2025\IMG_20250303_160507.jpg	IMG_20250303_160507.jpg	2025	filename:img_date_underscore	0
2026-04-29T06:31:08.462Z	G:\Poze\IMG_20250303_160528.jpg	G:\Poze\2025\IMG_20250303_160528.jpg	IMG_20250303_160528.jpg	2025	filename:img_date_underscore	0
2026-04-29T06:31:08.469Z	G:\Poze\IMG_20250813_174130.jpg	G:\Poze\2025\IMG_20250813_174130.jpg	IMG_20250813_174130.jpg	2025	filename:img_date_underscore	0
2026-04-29T06:31:08.476Z	G:\Poze\IMG_20251126_211335.jpg	G:\Poze\2025\IMG_20251126_211335.jpg	IMG_20251126_211335.jpg	2025	filename:img_date_underscore	0
2026-04-29T06:31:08.490Z	G:\Poze\IMG20250416162107.jpg	G:\Poze\2025\IMG20250416162107.jpg	IMG20250416162107.jpg	2025	filename:img_date_nosep	0
2026-04-29T06:31:08.497Z	G:\Poze\IMG20250416162110.jpg	G:\Poze\2025\IMG20250416162110.jpg	IMG20250416162110.jpg	2025	filename:img_date_nosep	0
2026-04-29T06:31:08.503Z	G:\Poze\IMG20250416162111.jpg	G:\Poze\2025\IMG20250416162111.jpg	IMG20250416162111.jpg	2025	filename:img_date_nosep	0
2026-04-29T06:31:08.511Z	G:\Poze\IMG_20230322_141114.jpg	G:\Poze\2023\IMG_20230322_141114.jpg	IMG_20230322_141114.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:08.519Z	G:\Poze\IMG_20180323_115531.jpg	G:\Poze\2018\IMG_20180323_115531.jpg	IMG_20180323_115531.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.527Z	G:\Poze\IMG_20180328_160202.jpg	G:\Poze\2018\IMG_20180328_160202.jpg	IMG_20180328_160202.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.534Z	G:\Poze\IMG_20180421_155530.jpg	G:\Poze\2018\IMG_20180421_155530.jpg	IMG_20180421_155530.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.541Z	G:\Poze\IMG_20180515_072739.jpg	G:\Poze\2018\IMG_20180515_072739.jpg	IMG_20180515_072739.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.549Z	G:\Poze\IMG_20180515_072908.jpg	G:\Poze\2018\IMG_20180515_072908.jpg	IMG_20180515_072908.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.556Z	G:\Poze\IMG20250416163753.jpg	G:\Poze\2025\IMG20250416163753.jpg	IMG20250416163753.jpg	2025	filename:img_date_nosep	0
2026-04-29T06:31:08.562Z	G:\Poze\IMG_20180712_211125.jpg	G:\Poze\2018\IMG_20180712_211125.jpg	IMG_20180712_211125.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.570Z	G:\Poze\IMG_20180713_155553.jpg	G:\Poze\2018\IMG_20180713_155553.jpg	IMG_20180713_155553.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.577Z	G:\Poze\IMG_20180714_082724.jpg	G:\Poze\2018\IMG_20180714_082724.jpg	IMG_20180714_082724.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.584Z	G:\Poze\IMG_20180722_182655.jpg	G:\Poze\2018\IMG_20180722_182655.jpg	IMG_20180722_182655.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.596Z	G:\Poze\IMG_20180722_191634.jpg	G:\Poze\2018\IMG_20180722_191634.jpg	IMG_20180722_191634.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.606Z	G:\Poze\IMG_20180818_093551.jpg	G:\Poze\2018\IMG_20180818_093551.jpg	IMG_20180818_093551.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.616Z	G:\Poze\IMG_20180819_124739.jpg	G:\Poze\2018\IMG_20180819_124739.jpg	IMG_20180819_124739.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.629Z	G:\Poze\IMG_20180829_001011.jpg	G:\Poze\2018\IMG_20180829_001011.jpg	IMG_20180829_001011.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.641Z	G:\Poze\IMG_20180918_002643.jpg	G:\Poze\2018\IMG_20180918_002643.jpg	IMG_20180918_002643.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:08.664Z	G:\Poze\IMG_20190507_011945.jpg	G:\Poze\2019\IMG_20190507_011945.jpg	IMG_20190507_011945.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.677Z	G:\Poze\IMG_20190507_012111.jpg	G:\Poze\2019\IMG_20190507_012111.jpg	IMG_20190507_012111.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.684Z	G:\Poze\IMG_20190709_214823.jpg	G:\Poze\2019\IMG_20190709_214823.jpg	IMG_20190709_214823.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.693Z	G:\Poze\IMG_20190709_214832.jpg	G:\Poze\2019\IMG_20190709_214832.jpg	IMG_20190709_214832.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.701Z	G:\Poze\IMG_20190710_123358.jpg	G:\Poze\2019\IMG_20190710_123358.jpg	IMG_20190710_123358.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.708Z	G:\Poze\IMG_20190726_202836.jpg	G:\Poze\2019\IMG_20190726_202836.jpg	IMG_20190726_202836.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.715Z	G:\Poze\IMG_20190730_122600.jpg	G:\Poze\2019\IMG_20190730_122600.jpg	IMG_20190730_122600.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.724Z	G:\Poze\IMG_20190730_173749.jpg	G:\Poze\2019\IMG_20190730_173749.jpg	IMG_20190730_173749.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.739Z	G:\Poze\IMG_20190731_182902.jpg	G:\Poze\2019\IMG_20190731_182902.jpg	IMG_20190731_182902.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.746Z	G:\Poze\IMG_20190731_184229.jpg	G:\Poze\2019\IMG_20190731_184229.jpg	IMG_20190731_184229.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.753Z	G:\Poze\IMG_20190813_105008.jpg	G:\Poze\2019\IMG_20190813_105008.jpg	IMG_20190813_105008.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.761Z	G:\Poze\IMG_20190813_105017.jpg	G:\Poze\2019\IMG_20190813_105017.jpg	IMG_20190813_105017.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.770Z	G:\Poze\IMG_20190922_084021.jpg	G:\Poze\2019\IMG_20190922_084021.jpg	IMG_20190922_084021.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.779Z	G:\Poze\IMG_20190929_085554.jpg	G:\Poze\2019\IMG_20190929_085554.jpg	IMG_20190929_085554.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.788Z	G:\Poze\IMG_20191109_102638.jpg	G:\Poze\2019\IMG_20191109_102638.jpg	IMG_20191109_102638.jpg	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.819Z	G:\Poze\IMG_20200126_062752.jpg	G:\Poze\2020\IMG_20200126_062752.jpg	IMG_20200126_062752.jpg	2020	filename:img_date_underscore	0
2026-04-29T06:31:08.829Z	G:\Poze\IMG_20200810_203354.jpg	G:\Poze\2020\IMG_20200810_203354.jpg	IMG_20200810_203354.jpg	2020	filename:img_date_underscore	0
2026-04-29T06:31:08.840Z	G:\Poze\IMG_20211231_211309.jpg	G:\Poze\2021\IMG_20211231_211309.jpg	IMG_20211231_211309.jpg	2021	filename:img_date_underscore	0
2026-04-29T06:31:08.874Z	G:\Poze\IMG_20220304_194454.jpg	G:\Poze\2022\IMG_20220304_194454.jpg	IMG_20220304_194454.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.882Z	G:\Poze\IMG_20220827_123810.jpg	G:\Poze\2022\IMG_20220827_123810.jpg	IMG_20220827_123810.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.889Z	G:\Poze\IMG_20220827_124933.jpg	G:\Poze\2022\IMG_20220827_124933.jpg	IMG_20220827_124933.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.897Z	G:\Poze\IMG_20220827_144547.jpg	G:\Poze\2022\IMG_20220827_144547.jpg	IMG_20220827_144547.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.905Z	G:\Poze\IMG_20220910_140442.jpg	G:\Poze\2022\IMG_20220910_140442.jpg	IMG_20220910_140442.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.911Z	G:\Poze\IMG_20221001_190729.jpg	G:\Poze\2022\IMG_20221001_190729.jpg	IMG_20221001_190729.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.919Z	G:\Poze\IMG_20221015_165922.jpg	G:\Poze\2022\IMG_20221015_165922.jpg	IMG_20221015_165922.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.926Z	G:\Poze\IMG_20221021_105239.jpg	G:\Poze\2022\IMG_20221021_105239.jpg	IMG_20221021_105239.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.933Z	G:\Poze\IMG_20221021_155218.jpg	G:\Poze\2022\IMG_20221021_155218.jpg	IMG_20221021_155218.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.948Z	G:\Poze\IMG_20221022_112418.jpg	G:\Poze\2022\IMG_20221022_112418.jpg	IMG_20221022_112418.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.960Z	G:\Poze\IMG_20221022_113413.jpg	G:\Poze\2022\IMG_20221022_113413.jpg	IMG_20221022_113413.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.972Z	G:\Poze\IMG_20221022_114858.jpg	G:\Poze\2022\IMG_20221022_114858.jpg	IMG_20221022_114858.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:08.990Z	G:\Poze\IMG_20221022_155509.jpg	G:\Poze\2022\IMG_20221022_155509.jpg	IMG_20221022_155509.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:09.002Z	G:\Poze\IMG_20221118_223229.jpg	G:\Poze\2022\IMG_20221118_223229.jpg	IMG_20221118_223229.jpg	2022	filename:img_date_underscore	0
2026-04-29T06:31:09.011Z	G:\Poze\IMG_20230206_134551.jpg	G:\Poze\2023\IMG_20230206_134551.jpg	IMG_20230206_134551.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.022Z	G:\Poze\IMG_20230211_151516_BURST003.jpg	G:\Poze\2023\IMG_20230211_151516_BURST003.jpg	IMG_20230211_151516_BURST003.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.031Z	G:\Poze\IMG_20230220_123121.jpg	G:\Poze\2023\IMG_20230220_123121.jpg	IMG_20230220_123121.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.041Z	G:\Poze\IMG_20230225_205832.jpg	G:\Poze\2023\IMG_20230225_205832.jpg	IMG_20230225_205832.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.054Z	G:\Poze\IMG_20230402_115349.jpg	G:\Poze\2023\IMG_20230402_115349.jpg	IMG_20230402_115349.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.065Z	G:\Poze\IMG_20230403_162729.jpg	G:\Poze\2023\IMG_20230403_162729.jpg	IMG_20230403_162729.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.082Z	G:\Poze\IMG_20230403_162738.jpg	G:\Poze\2023\IMG_20230403_162738.jpg	IMG_20230403_162738.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.098Z	G:\Poze\IMG_20230404_141632.jpg	G:\Poze\2023\IMG_20230404_141632.jpg	IMG_20230404_141632.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.112Z	G:\Poze\IMG_20230404_203155.jpg	G:\Poze\2023\IMG_20230404_203155.jpg	IMG_20230404_203155.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:09.122Z	G:\Poze\IMG_20180518_114733.jpg	G:\Poze\2018\IMG_20180518_114733.jpg	IMG_20180518_114733.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:09.133Z	G:\Poze\IMG_20180518_114734.jpg	G:\Poze\2018\IMG_20180518_114734.jpg	IMG_20180518_114734.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:09.142Z	G:\Poze\IMG_20180518_114748.jpg	G:\Poze\2018\IMG_20180518_114748.jpg	IMG_20180518_114748.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:09.151Z	G:\Poze\IMG_20180518_114829.jpg	G:\Poze\2018\IMG_20180518_114829.jpg	IMG_20180518_114829.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:09.164Z	G:\Poze\IMG_20180518_114835.jpg	G:\Poze\2018\IMG_20180518_114835.jpg	IMG_20180518_114835.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:09.172Z	G:\Poze\IMG_20180518_114847.jpg	G:\Poze\2018\IMG_20180518_114847.jpg	IMG_20180518_114847.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:09.180Z	G:\Poze\IMG_20180518_115046.jpg	G:\Poze\2018\IMG_20180518_115046.jpg	IMG_20180518_115046.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:09.188Z	G:\Poze\IMG_20180518_115049.jpg	G:\Poze\2018\IMG_20180518_115049.jpg	IMG_20180518_115049.jpg	2018	filename:img_date_underscore	0
2026-04-29T06:31:09.216Z	G:\Poze\IMG_20161029_011456.jpg	G:\Poze\2016\IMG_20161029_011456.jpg	IMG_20161029_011456.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.224Z	G:\Poze\IMG_20161108_233754.jpg	G:\Poze\2016\IMG_20161108_233754.jpg	IMG_20161108_233754.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.232Z	G:\Poze\IMG_20161116_225837.jpg	G:\Poze\2016\IMG_20161116_225837.jpg	IMG_20161116_225837.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.240Z	G:\Poze\IMG_20161116_225841.jpg	G:\Poze\2016\IMG_20161116_225841.jpg	IMG_20161116_225841.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.248Z	G:\Poze\IMG_20161120_185451.jpg	G:\Poze\2016\IMG_20161120_185451.jpg	IMG_20161120_185451.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.255Z	G:\Poze\IMG_20161126_132947.jpg	G:\Poze\2016\IMG_20161126_132947.jpg	IMG_20161126_132947.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.263Z	G:\Poze\IMG_20161126_132953.jpg	G:\Poze\2016\IMG_20161126_132953.jpg	IMG_20161126_132953.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.269Z	G:\Poze\IMG_20161126_133010.jpg	G:\Poze\2016\IMG_20161126_133010.jpg	IMG_20161126_133010.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.276Z	G:\Poze\IMG_20161127_190115.jpg	G:\Poze\2016\IMG_20161127_190115.jpg	IMG_20161127_190115.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.283Z	G:\Poze\IMG_20161204_213300.jpg	G:\Poze\2016\IMG_20161204_213300.jpg	IMG_20161204_213300.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.290Z	G:\Poze\IMG_20161206_223324.jpg	G:\Poze\2016\IMG_20161206_223324.jpg	IMG_20161206_223324.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.297Z	G:\Poze\IMG_20161222_194958.jpg	G:\Poze\2016\IMG_20161222_194958.jpg	IMG_20161222_194958.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.305Z	G:\Poze\IMG_20161223_232802.jpg	G:\Poze\2016\IMG_20161223_232802.jpg	IMG_20161223_232802.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.313Z	G:\Poze\IMG_20161226_081816.jpg	G:\Poze\2016\IMG_20161226_081816.jpg	IMG_20161226_081816.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.321Z	G:\Poze\IMG_20161226_081825.jpg	G:\Poze\2016\IMG_20161226_081825.jpg	IMG_20161226_081825.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.329Z	G:\Poze\IMG_20161226_081836.jpg	G:\Poze\2016\IMG_20161226_081836.jpg	IMG_20161226_081836.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.339Z	G:\Poze\IMG_20161226_081903.jpg	G:\Poze\2016\IMG_20161226_081903.jpg	IMG_20161226_081903.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.351Z	G:\Poze\IMG_20161226_081911.jpg	G:\Poze\2016\IMG_20161226_081911.jpg	IMG_20161226_081911.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.359Z	G:\Poze\IMG_20161226_190157.jpg	G:\Poze\2016\IMG_20161226_190157.jpg	IMG_20161226_190157.jpg	2016	filename:img_date_underscore	0
2026-04-29T06:31:09.364Z	G:\Poze\IMG_20170104_105002.jpg	G:\Poze\2017\IMG_20170104_105002.jpg	IMG_20170104_105002.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.372Z	G:\Poze\IMG_20170104_105023.jpg	G:\Poze\2017\IMG_20170104_105023.jpg	IMG_20170104_105023.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.379Z	G:\Poze\IMG_20170104_215942.jpg	G:\Poze\2017\IMG_20170104_215942.jpg	IMG_20170104_215942.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.386Z	G:\Poze\IMG_20170114_171506.jpg	G:\Poze\2017\IMG_20170114_171506.jpg	IMG_20170114_171506.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.393Z	G:\Poze\IMG_20170210_190827.jpg	G:\Poze\2017\IMG_20170210_190827.jpg	IMG_20170210_190827.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.406Z	G:\Poze\IMG_20170217_134128.jpg	G:\Poze\2017\IMG_20170217_134128.jpg	IMG_20170217_134128.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.416Z	G:\Poze\IMG_20170220_192429.jpg	G:\Poze\2017\IMG_20170220_192429.jpg	IMG_20170220_192429.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.427Z	G:\Poze\IMG_20170711_162230.jpg	G:\Poze\2017\IMG_20170711_162230.jpg	IMG_20170711_162230.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.435Z	G:\Poze\IMG_20171017_123912.jpg	G:\Poze\2017\IMG_20171017_123912.jpg	IMG_20171017_123912.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.444Z	G:\Poze\IMG_20171031_145624.jpg	G:\Poze\2017\IMG_20171031_145624.jpg	IMG_20171031_145624.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.452Z	G:\Poze\IMG_20171207_091809.jpg	G:\Poze\2017\IMG_20171207_091809.jpg	IMG_20171207_091809.jpg	2017	filename:img_date_underscore	0
2026-04-29T06:31:09.462Z	G:\Poze\IMG_20180207_093337.jpg	G:\Poze\2018\IMG_20180207_093337-2.jpg	IMG_20180207_093337.jpg	2018	filename:img_date_underscore	2
